epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,16407.2,0.80649,0.74128,1.29555,0.88553,0.88297,0.92185,0.77021,0.50317,0.34533,1.04614,0.0002179,0.0002179,0.0002179
81,16615.7,0.80101,0.74314,1.29401,0.88495,0.88401,0.92214,0.77131,0.50094,0.34331,1.04372,0.000208,0.000208,0.000208
82,16820.9,0.80059,0.73969,1.29332,0.88465,0.88617,0.92221,0.77232,0.49892,0.3413,1.04155,0.0001981,0.0001981,0.0001981
83,17028.6,0.79768,0.73612,1.29033,0.88418,0.88615,0.92246,0.77272,0.49747,0.34003,1.03992,0.0001882,0.0001882,0.0001882
84,17236.4,0.79866,0.73637,1.28965,0.88563,0.88534,0.92233,0.77344,0.49594,0.33856,1.03814,0.0001783,0.0001783,0.0001783
85,17446.1,0.79344,0.72994,1.28664,0.88633,0.88571,0.92248,0.77353,0.49443,0.33718,1.03627,0.0001684,0.0001684,0.0001684
86,17657.4,0.79284,0.72707,1.28442,0.88891,0.88501,0.92282,0.77441,0.49285,0.33585,1.03427,0.0001585,0.0001585,0.0001585
87,17865.5,0.79007,0.72149,1.28382,0.8896,0.88533,0.92303,0.77484,0.49142,0.3347,1.03251,0.0001486,0.0001486,0.0001486
88,18072.3,0.78973,0.72496,1.28243,0.89039,0.88556,0.92294,0.77561,0.48996,0.33387,1.03071,0.0001387,0.0001387,0.0001387
89,18276.1,0.79077,0.72251,1.28325,0.89045,0.88602,0.92327,0.77608,0.48865,0.33336,1.02926,0.0001288,0.0001288,0.0001288
90,18479.1,0.78253,0.71334,1.27716,0.89065,0.88654,0.92322,0.77617,0.4876,0.33252,1.02801,0.0001189,0.0001189,0.0001189
91,18673.4,0.61346,0.48638,1.17056,0.89348,0.88522,0.92355,0.77722,0.48526,0.33055,1.02546,0.000109,0.000109,0.000109
92,18865.8,0.59402,0.45995,1.14939,0.893,0.88555,0.92347,0.7785,0.48286,0.32867,1.02273,9.91e-05,9.91e-05,9.91e-05
93,19060,0.58211,0.44869,1.14102,0.89446,0.88592,0.9239,0.77984,0.47978,0.32581,1.01952,8.92e-05,8.92e-05,8.92e-05
94,19254.8,0.58048,0.44494,1.13971,0.89604,0.88658,0.92429,0.78088,0.47662,0.32344,1.01625,7.93e-05,7.93e-05,7.93e-05
95,19446.3,0.57087,0.4357,1.13106,0.89842,0.8869,0.92463,0.78177,0.47356,0.32085,1.01301,6.94e-05,6.94e-05,6.94e-05
96,19636.8,0.56975,0.43528,1.12972,0.90095,0.88647,0.92484,0.7826,0.47088,0.31809,1.0102,5.95e-05,5.95e-05,5.95e-05
97,19828,0.56564,0.42768,1.12645,0.90273,0.88667,0.92499,0.78413,0.46824,0.31556,1.00744,4.96e-05,4.96e-05,4.96e-05
98,20021.4,0.56615,0.42615,1.12841,0.90397,0.88685,0.92536,0.78528,0.46572,0.31309,1.00477,3.97e-05,3.97e-05,3.97e-05
99,20211.7,0.56203,0.42419,1.12415,0.90353,0.88845,0.92568,0.78611,0.46329,0.31101,1.00225,2.98e-05,2.98e-05,2.98e-05
100,20404.7,0.5577,0.42225,1.12034,0.90413,0.88808,0.92576,0.78732,0.46102,0.30885,0.99987,1.99e-05,1.99e-05,1.99e-05
